repository,description,fork,created_at,updated_at,pushed_at,size,stargazers_count,watchers_count,language,has_issues,has_projects,has_downloads,has_wiki,has_pages,forks_count,open_issues_count,license,forks,open_issues,watchers,default_branch,subscribers_count,g4,rt
jplag/jplag,JPlag - Detecting Software Plagiarism,False,2015-03-21T20:06:19Z,2019-12-10T13:05:21Z,2019-11-26T10:27:27Z,950,353,353,Java,True,True,True,True,False,121,24,GNU General Public License v3.0,121,24,353,master,33,2,6.0
json-template/JsonTemplate,A Java tool for generating json strings,False,2019-02-07T09:44:20Z,2019-09-18T02:41:57Z,2019-04-10T07:19:37Z,233,35,35,Java,True,True,True,True,False,6,3,Apache License 2.0,6,3,35,master,6,1,2.0
jsurfer/JsonSurfer,A streaming JsonPath processor in Java,False,2015-03-19T15:02:44Z,2019-12-03T16:32:16Z,2019-12-03T16:32:13Z,983,151,151,Java,True,True,True,True,False,31,4,MIT License,31,4,151,master,11,1,6.0
julianthome/inmemantlr,In Memory compilation of ANTLR grammars,False,2016-04-28T10:08:26Z,2019-12-09T16:36:40Z,2019-02-24T11:06:59Z,1002,59,59,Java,True,True,True,True,False,13,0,MIT License,13,0,59,master,10,16,14.0
junrushao1994/Final-Fanatic-Facility,A C compiler with SSA-based backend optimzation,False,2015-06-11T08:35:43Z,2018-07-13T17:51:50Z,2016-03-19T15:16:56Z,2201,11,11,Java,True,True,True,True,False,0,0,,0,0,11,master,1,1,7.0
jyukutyo/JVM-Math-Language,JVM Math Language with ANTLR and Graal,False,2017-07-08T05:45:24Z,2019-12-11T15:46:01Z,2019-02-27T02:37:38Z,30,12,12,Java,True,True,True,True,False,1,0,,1,0,12,master,2,1,5.0
k3po/k3po,"""I am fluent in over 6 million forms of communication!""",False,2014-04-03T22:14:18Z,2019-12-11T21:10:30Z,2019-12-11T21:10:33Z,9891,32,32,Java,True,True,True,True,False,37,70,Apache License 2.0,37,70,32,develop,23,2,4.0
kaiwaehner/ksql-fork-with-deep-learning-function,"Deep Learning UDF for KSQL, the Streaming SQL Engine for Apache Kafka with Elasticsearch Sink Example",False,2018-03-26T12:28:15Z,2019-12-06T07:45:42Z,2018-07-31T13:07:41Z,1921,53,53,Java,True,True,True,True,False,23,0,Apache License 2.0,23,0,53,master,5,1,8.0
kasonyang/kalang,A statically-typed and null-safe program language,False,2016-02-12T01:50:58Z,2019-12-14T09:11:02Z,2019-11-24T13:26:31Z,8957,46,46,Java,True,True,True,True,False,11,1,MIT License,11,1,46,master,3,2,27.0
kayler-renslow/arma-dialog-creator,A dialog/GUI creation tool for Arma 3.,False,2016-05-22T19:39:13Z,2019-11-04T16:41:44Z,2019-10-17T00:56:08Z,130807,51,51,Java,True,True,True,True,False,9,14,MIT License,9,14,51,master,23,2,11.0
kiegroup/drools,"Drools is a rule engine, DMN engine and complex event processing (CEP) engine for Java.",False,2011-02-18T08:37:05Z,2019-12-14T09:21:34Z,2019-12-13T17:47:53Z,165265,2637,2637,Java,False,True,True,False,False,1735,14,Apache License 2.0,1735,14,2637,master,277,1,45.0
kmizu/nub,A Tiny Programming Language,False,2016-12-09T23:37:04Z,2018-11-21T06:17:59Z,2017-01-24T15:17:20Z,58,26,26,Java,True,True,True,True,False,8,2,,8,2,26,master,6,1,2.0
kodokojo/kodokojo,Allow to manage Kodo Kojo project,False,2016-02-12T18:40:52Z,2019-12-05T08:02:50Z,2017-04-18T14:01:27Z,3834,48,48,Java,True,True,True,False,False,17,5,Other,17,5,48,master,7,1,1.0
konsoletyper/teavm-flavour,Framework for writing client-side applications using TeaVM,False,2015-04-19T15:41:26Z,2019-12-05T15:22:38Z,2019-11-29T17:58:00Z,1705,65,65,Java,True,True,True,True,False,13,23,Other,13,23,65,master,9,1,1.0
korpling/ANNIS,"ANNIS is an open source, versatile web browser-based search and visualization architecture for complex multilevel linguistic corpora with diverse types of annotation.",False,2012-08-17T08:03:40Z,2019-12-11T12:22:48Z,2019-12-11T12:23:01Z,182660,37,37,Java,True,True,True,False,True,25,99,Apache License 2.0,25,99,37,develop,14,4,1.0
kotlinx/ast,Generic AST parsing library for kotlin multiplatform,False,2019-09-08T11:04:39Z,2019-12-02T07:48:53Z,2019-12-02T15:12:27Z,824,27,27,Java,True,True,True,True,False,2,2,Apache License 2.0,2,2,27,master,2,6,9.0
latexdraw/latexdraw,A vector drawing editor for LaTeX (Java Swing/JavaFX).,False,2013-02-24T21:35:52Z,2019-12-12T09:00:50Z,2019-12-12T09:00:47Z,34109,263,263,Java,True,False,True,True,False,48,8,GNU General Public License v3.0,48,8,263,master,24,2,7.0
lchaboud-restlet/antlr-sqlparser,SQL Parser with ANTLR v4,False,2014-09-17T12:51:12Z,2019-11-21T08:54:10Z,2014-09-29T12:44:20Z,444,24,24,Java,True,True,True,True,False,10,1,,10,1,24,master,6,1,2.0
le-moulin-studio/java-semantic-diff,Experiment about a semantic-based diff tool for Java language.,False,2013-11-12T12:32:06Z,2019-06-25T09:22:01Z,2015-03-28T14:35:01Z,1515,14,14,ANTLR,True,True,True,True,False,1,3,GNU Affero General Public License v3.0,1,3,14,master,2,1,1.0
lealone/Bats,面向OLTP、OLAP、批处理、流处理场景的大一统SQL引擎,False,2019-07-16T07:06:19Z,2019-12-05T10:20:54Z,2019-10-23T07:31:05Z,7128,124,124,Java,True,True,True,True,False,29,6,Apache License 2.0,29,6,124,master,14,4,4.0
lensesio/kafka-connect-query-language,SQL for Kafka Connectors,False,2016-05-28T14:03:35Z,2019-12-06T09:41:47Z,2019-06-07T14:01:13Z,622,69,69,Java,True,True,True,True,False,22,6,Apache License 2.0,22,6,69,master,14,2,0.0
liferay/liferay-portal,,False,2009-09-25T22:55:58Z,2019-12-14T14:00:18Z,2019-12-14T02:32:48Z,13420926,1489,1489,Java,False,True,True,False,False,2455,17,Other,2455,17,1489,master,166,1,16.0
linkedin/Cubert,Fast and efficient batch computation engine for complex analysis and reporting of massive datasets on Hadoop,False,2014-09-28T21:20:37Z,2019-09-01T18:07:37Z,2015-08-24T23:32:06Z,2698,240,240,Java,True,True,True,False,True,63,5,Apache License 2.0,63,5,240,master,63,1,1.0
linkedin/parseq,Asynchronous Java made easier,False,2012-09-18T16:43:59Z,2019-12-13T03:19:19Z,2019-11-14T02:46:53Z,4321,938,938,Java,True,True,True,True,False,246,54,Apache License 2.0,246,54,938,master,140,1,6.0
